"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.76837526455101e-41,1.25528041214093,0.504,0.154,2.29214097790628e-36,"8","CCND2"
1.26835543838472e-40,1.51803901732429,0.475,0.144,3.31560795148151e-36,"8","NCOA3"
1.97475924538204e-40,1.61193823144403,0.45,0.135,5.1622181433532e-36,"8","H2AFZ"
2.22160169026629e-40,1.07264096343405,0.36,0.088,5.8074889785251e-36,"8","PSMA2"
2.64105544274202e-40,1.32326157385061,0.442,0.127,6.90398303287192e-36,"8","PARP1"
5.68818308070893e-40,1.0509165284193,0.38,0.095,1.48694793912812e-35,"8","PEBP1"
1.11251364523143e-39,1.14429132847662,0.281,0.058,2.90822191999949e-35,"8","ANKRD28"
2.1292327616236e-39,1.36232376907223,0.537,0.184,5.56602736216026e-35,"8","P4HB"
1.19600486437753e-38,1.50687998871806,0.252,0.049,3.1264763159693e-34,"8","NANS"
1.34637411195845e-38,1.1470257636567,0.31,0.07,3.51955656607058e-34,"8","DNAJC1"
1.45307779392014e-38,1.29201237392735,0.393,0.106,3.79849066108664e-34,"8","COX5A"
6.82024237384695e-38,1.22397064491759,0.496,0.159,1.78287955894733e-33,"8","TRAM1"
8.53362403636363e-38,1.17463919364453,0.252,0.05,2.23077465934582e-33,"8","GORASP2"
1.5168713042445e-37,1.31297053202386,0.409,0.116,3.96525327642555e-33,"8","ATP5G3"
1.76771472353762e-37,1.55582671485002,0.405,0.117,4.62098305879968e-33,"8","DDOST"
1.77940151466334e-37,1.23103306641482,0.293,0.066,4.65153349948145e-33,"8","PLCG2"
1.40780854160516e-36,1.61768207629869,0.26,0.055,3.68015230861005e-32,"8","KDELR1"
2.02667258998674e-36,1.23236364791629,0.318,0.077,5.29792481748433e-32,"8","USO1"
2.27562951530029e-36,1.02012696507351,0.525,0.172,5.94872311594648e-32,"8","LDHB"
2.47151072477773e-36,1.1083299755629,0.467,0.145,6.46077618564147e-32,"8","TMED10"
4.00940960549689e-36,1.00213747563304,0.397,0.111,1.04809976497294e-31,"8","SEC14L1"
4.75030191228533e-36,0.993931376491484,0.426,0.125,1.24177642289051e-31,"8","SRPR"
9.24850283177733e-36,1.1896255071718,0.289,0.066,2.41765112525491e-31,"8","PGRMC2"
1.10297561543386e-35,1.1581058396518,0.285,0.064,2.88328855630566e-31,"8","MORF4L2"
2.30037914049441e-35,1.26295984113361,0.537,0.194,6.01342111116644e-31,"8","VCP"
3.52288622737787e-35,1.22246707501226,0.446,0.14,9.20917688698849e-31,"8","TMED9"
7.24986417430989e-35,1.01352659248223,0.322,0.08,1.89518699380635e-30,"8","SPTY2D1"
1.53025716126248e-34,1.11069518147001,0.773,0.393,4.00024524525625e-30,"8","RPLP0"
2.32660979589227e-34,1.28449494718402,0.256,0.055,6.08199066744197e-30,"8","NDUFB6"
5.18972049044868e-34,0.878106459996857,0.326,0.082,1.35664483340819e-29,"8","DERL1"
7.24998850765757e-34,1.10122230375409,0.343,0.091,1.89521949578677e-29,"8","UQCRQ"
7.50420811684433e-34,1.06039566247152,0.45,0.144,1.96167504382428e-29,"8","STT3B"
1.20257791722217e-33,0.974628805660545,0.405,0.118,3.14365893341046e-29,"8","IDH2"
1.22902778922785e-33,0.906928214313648,0.318,0.079,3.21280154382052e-29,"8","ODC1"
5.02641797165982e-33,1.14370130828732,0.483,0.165,1.31395592197159e-28,"8","LMAN2"
1.84112015378174e-32,1.08582776639689,0.285,0.069,4.81287219400085e-28,"8","EIF2S1"
1.87662264759295e-32,1.317631585492,0.273,0.065,4.90567926307272e-28,"8","ARF4"
2.64248758251732e-32,1.21745845714306,0.289,0.071,6.90772678945853e-28,"8","GALNT2"
2.71878193547062e-32,1.07915326594241,0.269,0.062,7.10716785751376e-28,"8","VOPP1"
6.30949428349493e-32,0.821178008489867,0.401,0.12,1.64936490064841e-27,"8","USP48"
1.95105998113394e-31,0.869337507617652,0.256,0.058,5.10026589668225e-27,"8","IARS"
7.48468031818644e-31,0.995846632758675,0.413,0.131,1.95657028197712e-26,"8","CCT8"
9.12181802092417e-31,0.986813963364305,0.285,0.071,2.38453444884979e-26,"8","ERGIC3"
1.07878137933833e-30,1.5045554077925,0.45,0.161,2.82004240372832e-26,"8","HIST1H1D"
1.19959737544957e-30,0.943425461091402,0.421,0.135,3.13586749916272e-26,"8","EPRS"
1.97286895321564e-30,0.846441611340548,0.289,0.073,5.15727673060101e-26,"8","ACBD3"
2.82897480307793e-30,1.27174853033253,0.339,0.097,7.39522303272602e-26,"8","COPB1"
4.11196911818004e-30,1.18243498951263,0.289,0.075,1.07490984718344e-25,"8","ARFGAP3"
6.02087201050323e-30,0.95521859036619,0.372,0.111,1.57391615226565e-25,"8","NOP56"
7.9218899534849e-30,1.00350517235556,0.376,0.114,2.07086125274049e-25,"8","SEC63"
8.49842033457518e-30,1.10883667158047,0.541,0.212,2.2215720596613e-25,"8","ATP5A1"
8.97089071733462e-30,1.0799195306698,0.326,0.091,2.34508054241844e-25,"8","FNDC3A"
1.79468672629484e-29,0.809301822684269,0.38,0.115,4.69149057120735e-25,"8","CUTA"
2.24626327683133e-29,1.10946764723803,0.331,0.095,5.87195683196479e-25,"8","HNRNPAB"
2.33254076117363e-29,1.1317190069682,0.326,0.093,6.097494803784e-25,"8","PRDX1"
4.27671045293928e-29,1.13599634844973,0.281,0.073,1.11797487950286e-24,"8","COPG1"
1.22262321548489e-28,0.969494168165594,0.405,0.131,3.19605934759905e-24,"8","TBC1D1"
1.3780635922344e-28,1.11760973053893,0.277,0.072,3.60239603645995e-24,"8","KDM5D"
1.78807387431027e-28,0.956494341128843,0.302,0.082,4.67420391483447e-24,"8","DYNLL1"
3.27580123521502e-28,0.687482530162086,0.318,0.087,8.56327200897558e-24,"8","ATP8B2"
4.75088638612279e-28,1.09665071564394,0.698,0.362,1.24192921019636e-23,"8","CANX"
5.49829881468553e-28,0.7210032357649,0.376,0.117,1.43731029314694e-23,"8","TMED2"
5.85600311785213e-28,1.09510698636093,0.347,0.105,1.53081777503772e-23,"8","DAD1"
6.2295613094529e-28,1.02915424868521,0.463,0.17,1.62846962190408e-23,"8","SSR1"
1.08123555531175e-27,0.731489055211145,0.339,0.099,2.82645786514045e-23,"8","UFM1"
1.16072134615598e-27,4.19819709686792,0.322,0.109,3.03424167098634e-23,"8","IGHG1"
1.70704582335708e-27,0.776659412933161,0.289,0.078,4.46238848683774e-23,"8","CYCS"
1.7797596851541e-27,0.992123680962012,0.31,0.089,4.65246979296133e-23,"8","CPEB4"
1.82284970739657e-27,0.825041787564385,0.45,0.158,4.76511142010536e-23,"8","SSR2"
2.07525739219034e-27,4.35483533054237,0.302,0.096,5.42493034892477e-23,"8","IGHG4"
2.14000239824915e-27,0.886126928180805,0.36,0.11,5.59418026926309e-23,"8","TUFM"
2.55878586544628e-27,0.835507669243751,0.475,0.173,6.68892213086313e-23,"8","GOLGB1"
2.80252076169132e-27,1.02174422515033,0.413,0.14,7.32606952313729e-23,"8","ANP32E"
2.95746152748909e-27,0.847215353458149,0.343,0.103,7.73110017900924e-23,"8","MAGT1"
5.96868925136696e-27,1.28346892303617,0.252,0.065,1.56027505719984e-22,"8","CLIC4"
6.55297837734171e-27,0.632349173512231,0.339,0.101,1.7130140776209e-22,"8","TCP1"
8.08170380180186e-27,1.02133997275186,0.364,0.117,2.11263819082902e-22,"8","TRIB1"
8.44059444208652e-27,0.671445594176897,0.459,0.161,2.20645579310584e-22,"8","ANAPC5"
1.95683419325698e-26,0.87594417680476,0.537,0.211,5.11536026459307e-22,"8","NPM1"
1.96391795886194e-26,0.964269406440535,0.264,0.07,5.13387793626099e-22,"8","NDUFAB1"
2.35571446142951e-26,0.848218154722361,0.413,0.143,6.15807317362287e-22,"8","PSMB6"
3.0946195588395e-26,0.897273419603581,0.285,0.079,8.08964498876234e-22,"8","CCT2"
3.34599574997241e-26,0.954099617178517,0.438,0.158,8.74676749000289e-22,"8","SRP72"
4.03702359586728e-26,0.701713466366442,0.355,0.111,1.05531833819566e-21,"8","SLC38A2"
5.10049502759073e-26,0.91969291735987,0.442,0.162,1.33332040516249e-21,"8","UQCRH"
6.82316894693283e-26,1.00360937344382,0.26,0.069,1.78364459441771e-21,"8","NXPE3"
7.12689379208468e-26,0.818330299689666,0.376,0.123,1.86304130618886e-21,"8","H2AFV"
1.02783167077585e-25,0.904480735437973,0.351,0.112,2.68685477057515e-21,"8","SSRP1"
3.19940050551579e-25,0.985220858327319,0.31,0.093,8.36355286146882e-21,"8","MARS"
9.70424815717875e-25,0.868948615667027,0.537,0.221,2.5367875107681e-20,"8","HSPA8"
1.21718457513149e-24,1.05458552198017,0.384,0.133,3.18184219785124e-20,"8","RAN"
1.29448137132031e-24,0.993080150140831,0.273,0.077,3.38390375276841e-20,"8","ERH"
1.47535670323191e-24,0.747895745134968,0.298,0.088,3.85672995791853e-20,"8","MEF2C"
1.60010402968756e-24,0.487710680327761,0.298,0.087,4.18283194400625e-20,"8","CCDC47"
3.01672809648354e-24,0.751868560391953,0.421,0.152,7.88602891701761e-20,"8","PRKDC"
6.7875423243225e-24,0.968651424997994,0.388,0.138,1.77433143900114e-19,"8","SMC1A"
6.85496912074078e-24,0.629624207735155,0.26,0.072,1.79195747785285e-19,"8","MZT2A"
7.53358861728745e-24,0.76801540567621,0.393,0.139,1.96935540044511e-19,"8","CHCHD2"
7.97526691393972e-24,0.771117457974787,0.38,0.131,2.08481452397298e-19,"8","DNAJC3"
8.70610743286517e-24,0.849637063179685,0.331,0.106,2.27586354402528e-19,"8","SURF4"
8.77818277030284e-24,0.761657041423695,0.314,0.098,2.29470475798487e-19,"8","COPB2"
1.98400386981153e-23,0.681142185249958,0.306,0.094,5.18638451607431e-19,"8","COX6A1"
2.68488141030175e-23,0.595131497964538,0.31,0.095,7.01854849466979e-19,"8","YTHDF2"
2.80693249415902e-23,0.956572096195379,0.293,0.09,7.33760223298108e-19,"8","PSMC3"
2.86431000073767e-23,0.586456728705606,0.289,0.086,7.48759277292835e-19,"8","HN1"
4.44466437313402e-23,0.997635450026593,0.285,0.087,1.16187971378096e-18,"8","NASP"
5.24320539893545e-23,1.13976579412091,0.326,0.109,1.37062632333572e-18,"8","METTL7A"
6.25871864835658e-23,0.765204759004202,0.368,0.126,1.63609164186689e-18,"8","PPM1G"
6.99147141018329e-23,0.633240795286874,0.368,0.125,1.82764054133601e-18,"8","FUBP1"
